epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9729,1.18676,3.46682,1.68392,0.00575,1,0.38333,0.25255,0.65555,2.76796,1.32984,0.000542744,0.000542744,0.000542744
2,20.3212,0.86128,2.97191,1.5151,0.00575,1,0.45511,0.30716,0.54083,2.67555,1.1904,0.000989668,0.000989668,0.000989668
3,29.7794,0.91736,2.94559,1.51938,0.31749,0.83333,0.69103,0.49827,0.83586,10.5086,1.57155,0.00132657,0.00132657,0.00132657
4,38.8575,0.91512,2.33948,1.51767,0.31749,0.83333,0.69103,0.49827,0.83586,10.5086,1.57155,0.0011719,0.0011719,0.0011719
5,48.0793,0.94828,2.07498,1.59872,0.91516,0.90955,0.97796,0.70193,1.0156,3.67108,1.7631,0.00100687,0.00100687,0.00100687
6,57.1738,0.9605,2.13745,1.59665,0.74369,0.77778,0.86276,0.68594,0.82475,2.21693,1.36273,0.000841835,0.000841835,0.000841835
7,66.6809,0.7041,1.74996,1.28809,0.74369,0.77778,0.86276,0.68594,0.82475,2.21693,1.36273,0.000676802,0.000676802,0.000676802
8,76.8079,0.69752,1.75756,1.27965,0.69655,0.80838,0.94671,0.78348,0.69709,2.08488,1.27335,0.000511769,0.000511769,0.000511769
9,86.8578,0.71632,1.6833,1.36087,0.91351,0.85458,0.995,0.84953,0.6264,1.29084,1.20391,0.000346736,0.000346736,0.000346736
10,97.4864,0.62527,1.50248,1.25114,0.91351,0.85458,0.995,0.84953,0.6264,1.29084,1.20391,0.000181703,0.000181703,0.000181703
