epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0822,1.17059,3.44306,1.65803,0.00577,1,0.70394,0.4356,0.63544,2.78347,1.20216,0.000542744,0.000542744,0.000542744
2,20.6874,1.14392,3.08729,1.69699,0.0062,1,0.58379,0.19002,1.48687,2.80409,2.32398,0.000989668,0.000989668,0.000989668
3,31.1321,1.2334,2.70841,1.80565,0.17121,0.94444,0.2137,0.11669,1.38873,56.8295,3.5777,0.00132657,0.00132657,0.00132657
4,41.4223,1.47687,3.11291,2.07683,0.17121,0.94444,0.2137,0.11669,1.38873,56.8295,3.5777,0.0011719,0.0011719,0.0011719
5,51.9696,1.11923,2.309,1.73696,0.81784,0.77827,0.87281,0.57157,1.19217,3.01439,1.81943,0.00100687,0.00100687,0.00100687
6,62.0039,0.9311,2.08121,1.54138,0.62097,0.65,0.62881,0.43447,0.89148,5.09542,1.49514,0.000841835,0.000841835,0.000841835
7,72.5967,0.79144,1.80734,1.3805,0.62097,0.65,0.62881,0.43447,0.89148,5.09542,1.49514,0.000676802,0.000676802,0.000676802
8,82.156,0.77922,1.67241,1.38107,0.77142,0.97618,0.9471,0.79293,0.65109,2.8702,1.21694,0.000511769,0.000511769,0.000511769
