epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1292,1.21055,3.35566,1.72084,0.00576,1,0.34852,0.22005,0.84053,2.82488,1.6322,0.000542744,0.000542744,0.000542744
2,21.7303,0.94106,2.52059,1.54456,0.86326,0.68889,0.8837,0.53078,1.13388,2.25189,1.80597,0.000989668,0.000989668,0.000989668
3,31.0038,1.15957,2.3067,1.67633,0.35736,0.85,0.63615,0.43709,0.94491,12.7625,1.43612,0.00132657,0.00132657,0.00132657
4,40.0915,1.25621,2.65184,1.76082,0.35736,0.85,0.63615,0.43709,0.94491,12.7625,1.43612,0.0011719,0.0011719,0.0011719
5,49.3821,1.30541,2.56526,1.8292,0.51728,0.94678,0.85852,0.63239,1.06891,4.04294,1.41798,0.00100687,0.00100687,0.00100687
6,58.6905,1.33008,2.66168,1.88931,0.70489,0.82674,0.91545,0.75109,0.6654,2.42069,1.23351,0.000841835,0.000841835,0.000841835
7,68.1484,0.81489,1.87732,1.41365,0.70489,0.82674,0.91545,0.75109,0.6654,2.42069,1.23351,0.000676802,0.000676802,0.000676802
8,77.8499,0.75158,1.70431,1.33336,0.88192,0.90306,0.97,0.82663,0.68721,1.82384,1.22057,0.000511769,0.000511769,0.000511769
9,87.368,0.7723,1.83271,1.36144,0.91594,0.92871,0.97571,0.82366,0.78513,1.41123,1.27299,0.000346736,0.000346736,0.000346736
10,96.4688,0.69395,1.66485,1.27706,0.91594,0.92871,0.97571,0.82366,0.78513,1.41123,1.27299,0.000181703,0.000181703,0.000181703
