epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.112,1.16678,3.42701,1.64752,0.00483,1,0.23924,0.15315,0.5322,2.82832,1.18219,0.000542744,0.000542744,0.000542744
2,22.8318,1.12908,3.37166,1.62828,0.00483,1,0.22531,0.16349,0.55993,2.80406,1.19081,0.000989668,0.000989668,0.000989668
3,32.9647,1.2563,3.50701,1.70343,0.23285,0.50794,0.2343,0.03459,2.53257,26.7986,8.25888,0.00132657,0.00132657,0.00132657
4,42.9078,1.77614,3.09272,2.13395,0.23285,0.50794,0.2343,0.03459,2.53257,26.7986,8.25888,0.0011719,0.0011719,0.0011719
5,53.0113,1.70102,2.83931,2.15893,0.0644,0.61905,0.08179,0.02916,2.88567,39.0566,5.15339,0.00100687,0.00100687,0.00100687
6,62.9371,1.47506,2.65081,1.91633,0.70632,0.77778,0.67266,0.5001,1.19905,8.16492,2.11609,0.000841835,0.000841835,0.000841835
7,73.2732,1.02704,1.91667,1.5656,0.70632,0.77778,0.67266,0.5001,1.19905,8.16492,2.11609,0.000676802,0.000676802,0.000676802
8,83.8475,0.76893,1.8146,1.36134,0.97532,0.63236,0.88413,0.6893,0.84629,2.2105,1.45966,0.000511769,0.000511769,0.000511769
9,93.9658,0.79557,1.75642,1.3444,0.90419,0.70271,0.84885,0.66363,0.90198,2.0057,1.4863,0.000346736,0.000346736,0.000346736
10,104.071,0.69282,1.60144,1.26332,0.90419,0.70271,0.84885,0.66363,0.90198,2.0057,1.4863,0.000181703,0.000181703,0.000181703
