epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1876,1.1157,3.36691,1.61717,0.00575,1,0.41708,0.33099,0.54256,2.78333,1.20611,0.000542744,0.000542744,0.000542744
2,23.4841,0.92845,3.18236,1.53551,0.00575,1,0.50315,0.37411,0.58977,2.72818,1.23825,0.000989668,0.000989668,0.000989668
3,33.5658,1.04292,3.08641,1.5651,0.10262,0.73889,0.13326,0.06715,1.56711,37.1599,2.41138,0.00132657,0.00132657,0.00132657
4,43.4861,1.08924,2.45278,1.62409,0.10262,0.73889,0.13326,0.06715,1.56711,37.1599,2.41138,0.0011719,0.0011719,0.0011719
5,53.4739,0.95232,2.23946,1.58148,0.56404,0.9,0.83533,0.59143,1.11474,16.7188,2.08422,0.00100687,0.00100687,0.00100687
6,63.5727,0.96797,2.03589,1.59017,0.56495,0.9,0.83143,0.57482,1.20213,3.55557,1.86838,0.000841835,0.000841835,0.000841835
7,73.5884,0.76412,1.74145,1.3868,0.56495,0.9,0.83143,0.57482,1.20213,3.55557,1.86838,0.000676802,0.000676802,0.000676802
8,84.0001,0.67339,1.73505,1.26594,0.97563,0.8828,0.984,0.72016,1.06877,1.70426,1.75532,0.000511769,0.000511769,0.000511769
9,94.0836,0.70531,1.689,1.31522,0.93079,0.92686,0.98495,0.76611,0.87038,1.51956,1.54097,0.000346736,0.000346736,0.000346736
10,103.935,0.6501,1.53051,1.2688,0.93079,0.92686,0.98495,0.76611,0.87038,1.51956,1.54097,0.000181703,0.000181703,0.000181703
