epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2379,1.2178,3.47102,1.66315,0.00483,1,0.1946,0.11604,0.57305,2.8484,1.24502,0.000542744,0.000542744,0.000542744
2,22.2963,1.23699,3.10604,1.7341,0.00483,1,0.25839,0.08215,1.7764,2.90421,2.79115,0.000989668,0.000989668,0.000989668
3,32.0934,1.39548,3.02523,1.85211,0.66332,0.44694,0.57974,0.27032,1.23535,2.58267,1.7682,0.00132657,0.00132657,0.00132657
4,41.7817,1.39924,2.98382,1.83163,0.66332,0.44694,0.57974,0.27032,1.23535,2.58267,1.7682,0.0011719,0.0011719,0.0011719
5,51.7101,1.08329,2.47349,1.69622,0.23095,0.87302,0.67594,0.39489,1.27537,19.6949,2.10082,0.00100687,0.00100687,0.00100687
6,61.4537,0.93633,2.32893,1.52872,0.39425,0.78571,0.78383,0.56865,0.68188,8.56343,1.30781,0.000841835,0.000841835,0.000841835
7,71.1426,0.72176,1.60929,1.28084,0.39425,0.78571,0.78383,0.56865,0.68188,8.56343,1.30781,0.000676802,0.000676802,0.000676802
8,81.0996,0.73201,1.59125,1.30398,0.78745,0.6746,0.82187,0.65807,0.60328,3.21519,1.23699,0.000511769,0.000511769,0.000511769
9,90.843,0.77609,1.52081,1.36266,0.88562,0.94074,0.95389,0.78466,0.61575,1.87657,1.22801,0.000346736,0.000346736,0.000346736
10,100.651,0.71462,1.53961,1.28664,0.88562,0.94074,0.95389,0.78466,0.61575,1.87657,1.22801,0.000181703,0.000181703,0.000181703
