epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6028,1.08444,3.32011,1.58359,0.00513,1,0.33191,0.20616,0.5102,2.80289,1.15968,0.000542744,0.000542744,0.000542744
2,21.6749,1.09883,3.32178,1.64997,0.00512,1,0.21709,0.14536,0.61826,2.76831,1.25436,0.000989668,0.000989668,0.000989668
3,31.511,0.98518,3.10674,1.516,0.28911,0.75,0.59876,0.39301,1.06955,13.5742,2.0305,0.00132657,0.00132657,0.00132657
4,41.2254,1.03227,2.40257,1.56634,0.28911,0.75,0.59876,0.39301,1.06955,13.5742,2.0305,0.0011719,0.0011719,0.0011719
5,51.3302,1.11509,2.42431,1.63406,0.22025,0.78571,0.49027,0.212,1.87073,13.255,2.72322,0.00100687,0.00100687,0.00100687
6,61.2596,1.09564,2.3449,1.62459,0.46388,0.70233,0.62669,0.33949,1.16688,3.07513,1.80073,0.000841835,0.000841835,0.000841835
7,71.1772,1.22934,2.52966,1.63703,0.46388,0.70233,0.62669,0.33949,1.16688,3.07513,1.80073,0.000676802,0.000676802,0.000676802
8,81.1965,0.97519,2.18455,1.46936,0.95391,0.5,0.74933,0.46757,0.94564,2.54539,1.77196,0.000511769,0.000511769,0.000511769
9,91.7021,0.89612,2.11551,1.43638,0.65399,0.87282,0.88608,0.67826,0.85135,1.90215,1.63799,0.000346736,0.000346736,0.000346736
10,101.938,0.73298,1.81089,1.31767,0.65399,0.87282,0.88608,0.67826,0.85135,1.90215,1.63799,0.000181703,0.000181703,0.000181703
