epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6341,0.96536,2.93463,1.4664,0.00515,1,0.6701,0.51225,0.80381,2.88459,1.49388,0.000542744,0.000542744,0.000542744
2,21.7211,1.00879,2.6587,1.49056,0.00516,1,0.6672,0.31756,1.13264,2.84891,1.73176,0.000880926,0.000880926,0.000880926
3,31.2024,1.02882,2.51201,1.47415,0.72053,0.375,0.61584,0.33135,1.06658,2.65046,1.62767,0.000999063,0.000999063,0.000999063
4,40.4583,0.96403,2.53955,1.48233,0.72053,0.375,0.61584,0.33135,1.06658,2.65046,1.62767,0.000676802,0.000676802,0.000676802
5,49.9244,0.9701,2.28366,1.43493,0.60416,0.97708,0.83718,0.53157,0.87069,2.82287,1.61611,0.000346736,0.000346736,0.000346736
