epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1511,1.12389,3.41397,1.61813,0.00546,1,0.17571,0.10797,0.91102,2.89343,1.54984,0.000542744,0.000542744,0.000542744
2,22.6213,1.18938,3.05943,1.69962,0.00564,1,0.24958,0.07766,1.9493,2.82557,3.34239,0.000989668,0.000989668,0.000989668
3,33.0046,1.27889,2.84451,1.78435,0.16611,0.41429,0.48301,0.25932,1.5851,18.8137,2.90622,0.00132657,0.00132657,0.00132657
4,43.4597,1.22296,2.73138,1.81007,0.16611,0.41429,0.48301,0.25932,1.5851,18.8137,2.90622,0.0011719,0.0011719,0.0011719
5,53.5263,1.04265,2.23559,1.63375,0.66126,0.88889,0.89554,0.6756,0.99008,2.56193,1.88589,0.00100687,0.00100687,0.00100687
6,63.5439,0.81438,2.0242,1.44279,0.86483,0.8913,0.984,0.76611,0.84016,1.96436,1.67649,0.000841835,0.000841835,0.000841835
7,73.5256,0.78721,1.58148,1.34006,0.86483,0.8913,0.984,0.76611,0.84016,1.96436,1.67649,0.000676802,0.000676802,0.000676802
8,83.9703,0.7209,1.61216,1.33177,0.86534,1,0.984,0.78291,0.81849,1.861,1.56279,0.000511769,0.000511769,0.000511769
9,94.3009,0.66188,1.47328,1.31236,0.90433,0.99835,0.9785,0.78543,0.87369,1.68171,1.58814,0.000346736,0.000346736,0.000346736
10,104.489,0.63644,1.51686,1.24217,0.90433,0.99835,0.9785,0.78543,0.87369,1.68171,1.58814,0.000181703,0.000181703,0.000181703
