epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3476,1.20607,3.46507,1.67146,0.00605,1,0.24125,0.17948,0.55783,2.76804,1.11968,0.000542744,0.000542744,0.000542744
2,21.1027,1.26734,3.28904,1.75084,0.00605,1,0.29029,0.06159,1.97376,2.79623,2.62911,0.000989668,0.000989668,0.000989668
3,31.0739,1.36665,3.10674,1.88646,0.5232,0.61616,0.55366,0.29829,1.11115,2.43518,1.65471,0.00132657,0.00132657,0.00132657
4,40.5244,1.46211,3.07176,1.94745,0.5232,0.61616,0.55366,0.29829,1.11115,2.43518,1.65471,0.0011719,0.0011719,0.0011719
5,50.3671,1.23767,2.71762,1.80605,1,0.71717,0.84079,0.5705,1.25777,17.9797,2.49925,0.00100687,0.00100687,0.00100687
6,60.1411,1.05835,2.44277,1.68222,0.73012,0.95455,0.94353,0.7911,0.69861,6.34693,1.47953,0.000841835,0.000841835,0.000841835
7,69.8315,0.84294,1.84985,1.47232,0.73012,0.95455,0.94353,0.7911,0.69861,6.34693,1.47953,0.000676802,0.000676802,0.000676802
8,79.7134,0.81665,1.83128,1.41753,0.84258,0.95455,0.90164,0.69017,0.61091,2.45177,1.25329,0.000511769,0.000511769,0.000511769
9,89.3045,0.75877,1.80965,1.36067,0.92919,0.91486,0.99125,0.84521,0.57948,1.73737,1.16692,0.000346736,0.000346736,0.000346736
10,98.7018,0.65827,1.64941,1.29689,0.92919,0.91486,0.99125,0.84521,0.57948,1.73737,1.16692,0.000181703,0.000181703,0.000181703
