epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0751,1.26802,3.56536,1.72416,0.00577,1,0.33222,0.24705,0.70104,2.8249,1.28603,0.000542744,0.000542744,0.000542744
2,21.9843,1.26834,3.18685,1.81781,0.00579,1,0.27499,0.07836,2.17696,2.89575,3.30053,0.000989668,0.000989668,0.000989668
3,31.8669,1.51321,3.03706,2.00649,0.31502,0.73889,0.54495,0.28262,1.1694,5.60883,2.05682,0.00132657,0.00132657,0.00132657
4,41.4805,1.05486,2.64781,1.68758,0.31502,0.73889,0.54495,0.28262,1.1694,5.60883,2.05682,0.0011719,0.0011719,0.0011719
5,51.6788,0.89175,2.20312,1.55107,0.77173,0.87093,0.95941,0.7505,0.81393,3.84244,1.58462,0.00100687,0.00100687,0.00100687
6,62.4878,0.84079,1.9632,1.52765,0.93902,0.95,0.95113,0.7542,0.89419,3.51797,1.6894,0.000841835,0.000841835,0.000841835
7,73.758,0.77693,1.66724,1.39356,0.93902,0.95,0.95113,0.7542,0.89419,3.51797,1.6894,0.000676802,0.000676802,0.000676802
8,84.645,0.7749,1.82167,1.38568,0.92098,0.89444,0.97346,0.82583,0.81436,2.78403,1.60298,0.000511769,0.000511769,0.000511769
9,94.3633,0.72554,1.66713,1.3419,0.91238,0.90703,0.96891,0.83422,0.71924,2.28049,1.46984,0.000346736,0.000346736,0.000346736
10,103.942,0.64284,1.54777,1.28503,0.91238,0.90703,0.96891,0.83422,0.71924,2.28049,1.46984,0.000181703,0.000181703,0.000181703
